\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Study Cases.IntPrjfolder\RMSPowerSims_verification.IntCase\Result Export.ComRes: 
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Study Cases.IntPrjfolder\RMSPowerSims_verification.IntCase\results_short_circuit_and_load_step.ElmRes':
1,b:tnow,s,"Time"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 02.ElmComp\AVR 02.ElmDsl':
2,c:Vc, ,"Vc"
3,c:Vr, ,"Vr"
4,s:vf,,"vf"
5,s:uerrs,,"uerrs"
6,s:xe,,"xe"
7,s:xr,,"xr"
8,s:xf,,"xf"
9,s:xa,,"xa"
10,s:xe:dt,/s,"xe, derivative"
11,s:xr:dt,/s,"xr, derivative"
12,s:xf:dt,/s,"xf, derivative"
13,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 03.ElmComp\AVR 03.ElmDsl':
14,c:Vc, ,"Vc"
15,c:Vr, ,"Vr"
16,s:vf,,"vf"
17,s:uerrs,,"uerrs"
18,s:xe,,"xe"
19,s:xr,,"xr"
20,s:xf,,"xf"
21,s:xa,,"xa"
22,s:xe:dt,/s,"xe, derivative"
23,s:xr:dt,/s,"xr, derivative"
24,s:xf:dt,/s,"xf, derivative"
25,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 04.ElmComp\AVR 04.ElmDsl':
26,c:Vc, ,"Vc"
27,c:Vr, ,"Vr"
28,s:vf,,"vf"
29,s:uerrs,,"uerrs"
30,s:xe,,"xe"
31,s:xr,,"xr"
32,s:xf,,"xf"
33,s:xa,,"xa"
34,s:xe:dt,/s,"xe, derivative"
35,s:xr:dt,/s,"xr, derivative"
36,s:xf:dt,/s,"xf, derivative"
37,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 05.ElmComp\AVR 05.ElmDsl':
38,c:Vc, ,"Vc"
39,c:Vr, ,"Vr"
40,s:vf,,"vf"
41,s:uerrs,,"uerrs"
42,s:xe,,"xe"
43,s:xr,,"xr"
44,s:xf,,"xf"
45,s:xa,,"xa"
46,s:xe:dt,/s,"xe, derivative"
47,s:xr:dt,/s,"xr, derivative"
48,s:xf:dt,/s,"xf, derivative"
49,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 06.ElmComp\AVR 06.ElmDsl':
50,c:Vc, ,"Vc"
51,c:Vr, ,"Vr"
52,s:vf,,"vf"
53,s:uerrs,,"uerrs"
54,s:xe,,"xe"
55,s:xr,,"xr"
56,s:xf,,"xf"
57,s:xa,,"xa"
58,s:xe:dt,/s,"xe, derivative"
59,s:xr:dt,/s,"xr, derivative"
60,s:xf:dt,/s,"xf, derivative"
61,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 07.ElmComp\AVR 07.ElmDsl':
62,c:Vc, ,"Vc"
63,c:Vr, ,"Vr"
64,s:vf,,"vf"
65,s:uerrs,,"uerrs"
66,s:xe,,"xe"
67,s:xr,,"xr"
68,s:xf,,"xf"
69,s:xa,,"xa"
70,s:xe:dt,/s,"xe, derivative"
71,s:xr:dt,/s,"xr, derivative"
72,s:xf:dt,/s,"xf, derivative"
73,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 08.ElmComp\AVR 08.ElmDsl':
74,c:Vc, ,"Vc"
75,c:Vr, ,"Vr"
76,s:vf,,"vf"
77,s:uerrs,,"uerrs"
78,s:xe,,"xe"
79,s:xr,,"xr"
80,s:xf,,"xf"
81,s:xa,,"xa"
82,s:xe:dt,/s,"xe, derivative"
83,s:xr:dt,/s,"xr, derivative"
84,s:xf:dt,/s,"xf, derivative"
85,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 09.ElmComp\AVR 09.ElmDsl':
86,c:Vc, ,"Vc"
87,c:Vr, ,"Vr"
88,s:vf,,"vf"
89,s:uerrs,,"uerrs"
90,s:xe,,"xe"
91,s:xr,,"xr"
92,s:xf,,"xf"
93,s:xa,,"xa"
94,s:xe:dt,/s,"xe, derivative"
95,s:xr:dt,/s,"xr, derivative"
96,s:xf:dt,/s,"xf, derivative"
97,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Power Plant 10.ElmComp\AVR 10.ElmDsl':
98,c:Vc, ,"Vc"
99,c:Vr, ,"Vr"
100,s:vf,,"vf"
101,s:uerrs,,"uerrs"
102,s:xe,,"xe"
103,s:xr,,"xr"
104,s:xf,,"xf"
105,s:xa,,"xa"
106,s:xe:dt,/s,"xe, derivative"
107,s:xr:dt,/s,"xr, derivative"
108,s:xf:dt,/s,"xf, derivative"
109,s:xa:dt,/s,"xa, derivative"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 01.ElmTerm':
110,m:u1,p.u.,"Voltage, Magnitude"
111,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 02.ElmTerm':
112,m:u1,p.u.,"Voltage, Magnitude"
113,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 03.ElmTerm':
114,m:u1,p.u.,"Voltage, Magnitude"
115,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 04.ElmTerm':
116,m:u1,p.u.,"Voltage, Magnitude"
117,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 05.ElmTerm':
118,m:u1,p.u.,"Voltage, Magnitude"
119,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 06.ElmTerm':
120,m:u1,p.u.,"Voltage, Magnitude"
121,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 07.ElmTerm':
122,m:u1,p.u.,"Voltage, Magnitude"
123,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 08.ElmTerm':
124,m:u1,p.u.,"Voltage, Magnitude"
125,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 09.ElmTerm':
126,m:u1,p.u.,"Voltage, Magnitude"
127,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 10.ElmTerm':
128,m:u1,p.u.,"Voltage, Magnitude"
129,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 11.ElmTerm':
130,m:u1,p.u.,"Voltage, Magnitude"
131,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 12.ElmTerm':
132,m:u1,p.u.,"Voltage, Magnitude"
133,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 13.ElmTerm':
134,m:u1,p.u.,"Voltage, Magnitude"
135,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 14.ElmTerm':
136,m:u1,p.u.,"Voltage, Magnitude"
137,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 15.ElmTerm':
138,m:u1,p.u.,"Voltage, Magnitude"
139,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 16.ElmTerm':
140,m:u1,p.u.,"Voltage, Magnitude"
141,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 17.ElmTerm':
142,m:u1,p.u.,"Voltage, Magnitude"
143,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 18.ElmTerm':
144,m:u1,p.u.,"Voltage, Magnitude"
145,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 19.ElmTerm':
146,m:u1,p.u.,"Voltage, Magnitude"
147,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 20.ElmTerm':
148,m:u1,p.u.,"Voltage, Magnitude"
149,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 21.ElmTerm':
150,m:u1,p.u.,"Voltage, Magnitude"
151,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 22.ElmTerm':
152,m:u1,p.u.,"Voltage, Magnitude"
153,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 23.ElmTerm':
154,m:u1,p.u.,"Voltage, Magnitude"
155,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 24.ElmTerm':
156,m:u1,p.u.,"Voltage, Magnitude"
157,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 25.ElmTerm':
158,m:u1,p.u.,"Voltage, Magnitude"
159,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 26.ElmTerm':
160,m:u1,p.u.,"Voltage, Magnitude"
161,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 27.ElmTerm':
162,m:u1,p.u.,"Voltage, Magnitude"
163,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 28.ElmTerm':
164,m:u1,p.u.,"Voltage, Magnitude"
165,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 29.ElmTerm':
166,m:u1,p.u.,"Voltage, Magnitude"
167,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 30.ElmTerm':
168,m:u1,p.u.,"Voltage, Magnitude"
169,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 31.ElmTerm':
170,m:u1,p.u.,"Voltage, Magnitude"
171,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 32.ElmTerm':
172,m:u1,p.u.,"Voltage, Magnitude"
173,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 33.ElmTerm':
174,m:u1,p.u.,"Voltage, Magnitude"
175,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 34.ElmTerm':
176,m:u1,p.u.,"Voltage, Magnitude"
177,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 35.ElmTerm':
178,m:u1,p.u.,"Voltage, Magnitude"
179,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 36.ElmTerm':
180,m:u1,p.u.,"Voltage, Magnitude"
181,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 37.ElmTerm':
182,m:u1,p.u.,"Voltage, Magnitude"
183,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 38.ElmTerm':
184,m:u1,p.u.,"Voltage, Magnitude"
185,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\Bus 39.ElmTerm':
186,m:u1,p.u.,"Voltage, Magnitude"
187,m:phiu,deg,"Voltage, Angle"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 01.ElmSym':
188,s:xmt,p.u.,"Mechanical Torque"
189,s:P1,MW,"Positive-Sequence, Active Power"
190,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
191,s:psi1d,p.u.,"Flux in 1d-damper winding"
192,s:psifd,p.u.,"Excitation Flux"
193,s:psi1q,p.u.,"Flux in 1q-damper winding"
194,s:psi2q,p.u.,"Flux in 2q-damper winding"
195,s:speed,p.u.,"Speed"
196,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
197,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
198,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
199,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
200,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
201,s:speed:dt,p.u./s,"Speed, derivative"
202,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
203,c:id,p.u.,"Stator Current, d-axis"
204,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 02.ElmSym':
205,s:xmt,p.u.,"Mechanical Torque"
206,s:P1,MW,"Positive-Sequence, Active Power"
207,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
208,s:psi1d,p.u.,"Flux in 1d-damper winding"
209,s:psifd,p.u.,"Excitation Flux"
210,s:psi1q,p.u.,"Flux in 1q-damper winding"
211,s:psi2q,p.u.,"Flux in 2q-damper winding"
212,s:speed,p.u.,"Speed"
213,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
214,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
215,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
216,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
217,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
218,s:speed:dt,p.u./s,"Speed, derivative"
219,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
220,c:id,p.u.,"Stator Current, d-axis"
221,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 03.ElmSym':
222,s:xmt,p.u.,"Mechanical Torque"
223,s:P1,MW,"Positive-Sequence, Active Power"
224,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
225,s:psi1d,p.u.,"Flux in 1d-damper winding"
226,s:psifd,p.u.,"Excitation Flux"
227,s:psi1q,p.u.,"Flux in 1q-damper winding"
228,s:psi2q,p.u.,"Flux in 2q-damper winding"
229,s:speed,p.u.,"Speed"
230,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
